Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[individual]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[phenotype]	Comment[replicate]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[cell type]	Factor Value[phenotype]
HSCa	ERS2893229	SAMEA5081873	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCa	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCa	sequencing assay	ERX2901259	HSCa_1.fastq.gz	HSCa_1.fastq.gz	ERR2896350	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2896350/ERR2896350_1.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCa	ERS2893229	SAMEA5081873	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCa	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCa	sequencing assay	ERX2901259	HSCa_2.fastq.gz	HSCa_2.fastq.gz	ERR2896350	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/000/ERR2896350/ERR2896350_2.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCb	ERS2893230	SAMEA5081874	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCb	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCb	sequencing assay	ERX2901260	HSCb_1.fastq.gz	HSCb_1.fastq.gz	ERR2896351	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/001/ERR2896351/ERR2896351_1.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCb	ERS2893230	SAMEA5081874	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 2	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCb	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCb	sequencing assay	ERX2901260	HSCb_2.fastq.gz	HSCb_2.fastq.gz	ERR2896351	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/001/ERR2896351/ERR2896351_2.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCc	ERS2893231	SAMEA5081875	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCc	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCc	sequencing assay	ERX2901261	HSCc_1.fastq.gz	HSCc_1.fastq.gz	ERR2896352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2896352/ERR2896352_1.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCc	ERS2893231	SAMEA5081875	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 3	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCc	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCc	sequencing assay	ERX2901261	HSCc_2.fastq.gz	HSCc_2.fastq.gz	ERR2896352	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/002/ERR2896352/ERR2896352_2.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCd	ERS2893232	SAMEA5081876	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCd	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCd	sequencing assay	ERX2901262	HSCd_1.fastq.gz	HSCd_1.fastq.gz	ERR2896353	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/003/ERR2896353/ERR2896353_1.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
HSCd	ERS2893232	SAMEA5081876	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-	replicate 4	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	HSCd	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	HSCd	sequencing assay	ERX2901262	HSCd_2.fastq.gz	HSCd_2.fastq.gz	ERR2896353	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/003/ERR2896353/ERR2896353_2.fastq.gz	250	126	hematopoietic stem cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34-
MPP1a	ERS2893233	SAMEA5081877	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1a	sequencing assay	ERX2901263	MPP1a_1.fastq.gz	MPP1a_1.fastq.gz	ERR2896354	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2896354/ERR2896354_1.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
MPP1a	ERS2893233	SAMEA5081877	Mus musculus	C57BL/6J	adult	female	pool of three mice	wild type genotype	bone marrow	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+	replicate 1	cell	P-MTAB-80638	P-MTAB-80639	P-MTAB-80640	MPP1a	RNA	PAIRED	PolyA	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-5'-3'	P-MTAB-80641	DKFZ	MPP1a	sequencing assay	ERX2901263	MPP1a_2.fastq.gz	MPP1a_2.fastq.gz	ERR2896354	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/004/ERR2896354/ERR2896354_2.fastq.gz	250	126	hematopoietic multipotent progenitor cell	Lineage- Sca1+ Kit+ CD135- CD150+ CD48- CD34+
