Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
HSCa_1	93.49524955629948	31.0	125.0	45.45454545454545	30278930.0
HSCa_2	79.77534598428163	37.0	125.0	36.36363636363637	30278930.0
HSCb_1	93.81898377299169	36.0	125.0	45.45454545454545	40331997.0
HSCb_2	84.46238580746873	41.0	125.0	36.36363636363637	40331997.0
HSCc_1	92.18379587699748	35.0	125.0	45.45454545454545	34803044.0
HSCc_2	80.20404187095048	39.0	125.0	18.181818181818183	34803044.0
HSCd_1	91.96205908362259	38.0	125.0	45.45454545454545	24768005.0
HSCd_2	85.05489517689898	40.0	125.0	18.181818181818183	24768005.0
MPP1a_1	93.6977780331594	38.0	125.0	45.45454545454545	39763053.0
MPP1a_2	88.53623692264341	41.0	125.0	27.27272727272727	39763053.0
MPP1b_1	92.21429124679645	36.0	125.0	45.45454545454545	19178576.0
MPP1b_2	83.27033832417388	41.0	125.0	36.36363636363637	19178576.0
MPP1c_1	93.4042871445524	30.0	125.0	45.45454545454545	26160445.0
MPP1c_2	79.33386945465233	39.0	125.0	18.181818181818183	26160445.0
MPP1d_1	90.87610395008828	36.0	125.0	45.45454545454545	25319767.0
MPP1d_2	77.70441168545891	40.0	125.0	18.181818181818183	25319767.0
MPP2a_1	93.50753784522024	36.0	125.0	45.45454545454545	27564637.0
MPP2a_2	86.53885094898466	41.0	125.0	27.27272727272727	27564637.0
MPP2b_1	91.44869321330278	32.0	125.0	45.45454545454545	21612032.0
MPP2b_2	74.01420934355161	38.0	125.0	18.181818181818183	21612032.0
MPP2c_1	93.63658778224861	41.0	125.0	36.36363636363637	34816287.0
MPP2c_2	88.0748217656502	42.0	125.0	18.181818181818183	34816287.0
MPP2d_1	95.19320716961515	43.0	125.0	36.36363636363637	28951127.0
MPP2d_2	90.1588816160604	43.0	125.0	18.181818181818183	28951127.0
MPP3a_1	93.5448485731916	39.0	125.0	45.45454545454545	33007494.0
MPP3a_2	89.2262567471115	42.0	125.0	18.181818181818183	33007494.0
MPP3b_1	93.70899688542383	37.0	125.0	45.45454545454545	37406838.0
MPP3b_2	88.47684077148148	41.0	125.0	18.181818181818183	37406838.0
MPP3c_1	91.39564271565888	32.0	125.0	45.45454545454545	19321411.0
MPP3c_2	74.59392420758459	39.0	125.0	18.181818181818183	19321411.0
MPP3d_1	92.00659549197373	40.0	125.0	36.36363636363637	28584169.0
MPP3d_2	83.94349852264621	40.0	125.0	18.181818181818183	28584169.0
MPP4a_1	92.11574536492286	36.0	125.0	45.45454545454545	22953327.0
MPP4a_2	82.34621325778524	41.0	125.0	18.181818181818183	22953327.0
MPP4b_1	92.67288533834687	34.0	125.0	45.45454545454545	20748211.0
MPP4b_2	79.21978229750027	40.0	125.0	27.27272727272727	20748211.0
MPP4c_1	91.35805893238631	41.0	125.0	36.36363636363637	21690353.0
MPP4c_2	83.07829675241078	42.0	125.0	18.181818181818183	21690353.0
MPP4d_1	92.89328037437284	42.0	125.0	45.45454545454545	28602913.0
MPP4d_2	79.69563315606999	43.0	125.0	27.27272727272727	28602913.0
